kobo_name,db_name,action,,
,id,keep,,
,state,keep,,
,lga,keep,,
,ward,keep,,
,community,keep,,
,cycle,keep,,
ch_id,child_id,keep,,
child_id,child_code,keep,,
Household ID,household_code,keep,,
Mother ID,mother_code,keep,,
,household_code_pull,keep,,
,mother_code_pull,keep,,
child_name_proper,child_name,keep,,
Q62. Date of birth of ${child_name},child_dob,keep,,
c_age,child_age,keep,,
Q64. ${child_name}'s gender,child_gender,keep,,
Q65. Place of Delivery,delivery_place,keep,,
Q66. Feeding mode at the first 6 months of life,feeding_mode_6_months,keep,,
Q67. Current Feeding Mode/Breastfeeding,current_feeding_breastfeeding,keep,,
Q67. Current Feeding Mode/Formula,current_feeding_formula,keep,,
Q67. Current Feeding Mode/Family Diet,current_feeding_family_diet,keep,,
Q67. Current Feeding Mode/Pap/Cereals and milk,current_feeding_cereals_milk,keep,,
Q68. Was ${child_name} ever immunized?,immunization,keep,,
Q69. What was the reason for no immunization?,no_immunization,keep,,
Q70. Has your child been sick in the last 3 months?,child_sick,keep,,
Q71. Number of Acute Respiratory tract infection (ARI),no_ari,keep,,
Q72. Number of Acute febrile illness in last 3 months,no_afi,keep,,
Q73. Number of Acute Diarrhoea,no_ad,keep,,
Q74a. How much information do you know about treatment for Acute Respiratory Tract Infection (ARI)?,ari_info,keep,,
Q74b. How much information do you know about treatment for Acute Febrile Illness?,afi_info,keep,,
Q74c. How much information do you know about treatment for Acute Diarrhoea (Passage of Watery stools)?,ad_info,keep,,
Q74d. Which of the following drugs are you aware for management of Acute Diarrhoea? (If you are knowledgeable)/Oral Rehydration Salt (ORS),ors_ad,keep,,
Q74d. Which of the following drugs are you aware for management of Acute Diarrhoea? (If you are knowledgeable)/Zinc tablet,zinc_tablet_ad,keep,,
Q74d. Which of the following drugs are you aware for management of Acute Diarrhoea? (If you are knowledgeable)/Metronidazole,metronidazole_ad,keep,,
Q74d. Which of the following drugs are you aware for management of Acute Diarrhoea? (If you are knowledgeable)/Probiotics,probiotics_ad,keep,,
Q74d. Which of the following drugs are you aware for management of Acute Diarrhoea? (If you are knowledgeable)/Seven keys,seven_keys_ad,keep,,
Q74d. Which of the following drugs are you aware for management of Acute Diarrhoea? (If you are knowledgeable)/Septrin/Clotrimazole,septrin_clotrimazole_ad,keep,,
Q74e. Have you given your child antibiotics in the last 3 months?,child_antibiotic_ad,keep,,
"Q74f. If yes, who prescribed the drugs?",drug_prescription_ad,keep,,
Q74g. Which Antibiotics did you give your child?/Septrin (Cotrimoxazole),septrin_clotrimazole_antibiotic,keep,,
Q74g. Which Antibiotics did you give your child?/Penicillin((Ampicillin/Ampiclox/Augmentin),penicillin_antibiotic,keep,,
Q74g. Which Antibiotics did you give your child?/Metronidazole (Flagyl),metronidazole_antibiotic,keep,,
Q74g. Which Antibiotics did you give your child?/Erythromycin,erythromycin_antibiotic,keep,,
Q74g. Which Antibiotics did you give your child?/Azithromycin,azithromycin_antibiotic,keep,,
Q74g. Which Antibiotics did you give your child?/I don't know,dont_know_antibiotic,keep,,
Q74g. Which Antibiotics did you give your child?/Others,antibiotic_others,keep,,
Kindly specify any other antibiotics you give your child?,antibiotic_others_specify,keep,,
Q74h. Has your child ever experienced reaction from taken the drug mentioned above?,drug_reaction,keep,,
"Q74i. If yes, which reaction did your child experienced?",reaction_experienced,keep,,
Kindly specify the other symptoms not on the list,reaction_experienced_others,keep,,
Q74j. Was the child admitted into the hospital because of the reaction experienced?,child_admitted,keep,,
Q74k. Did the reaction disappear after the child stopped using the drug?,reaction_stop,keep,,
Q74l. Has your child used the drug again?,child_used_drug_again,keep,,
Q75. Have you given your child antimalaria in last 3 months?,child_used_antimalarial_3months,keep,,
"Q75a. If yes, who prescribed the drugs?",drug_prescription_antimalarial,keep,,
,name_antimalarial,keep,,
Q75b. Which Antimalarial drug did you give your child?/Fansidar/Maloxine,fansidar_antimalarial,keep,,
Q75b. Which Antimalarial drug did you give your child?/Artemisinin Combination Therapies (ACT),act_antimalarial,keep,,
Q75b. Which Antimalarial drug did you give your child?/Chloroquine,chloroquine_antimalarial,keep,,
,camosunate_antimalarial,keep,,
,quinine_antimalarial,keep,,
Q75b. Which Antimalarial drug did you give your child?/Don't know,antimalarial_dont_know,keep,,
Q75c. Has your child ever experinced reaction from taking the drugs mentioned above?,reaction_antimalarial,keep,,
Q75d. Which of the following features was the one most severe symptom your child had after taking the drug?,severe_symptom_antimalarial,keep,,
Kindly specify the other symptoms not on the list,severe_symptom_antimalarial_others,keep,,
Q75e. Was your child admitted to the hospital because of the reaction experienced?,hospital_admitted_antimalaria,keep,,
Q75f. Did this reaction disappear after your child stopped using the drug?,reaction_stopped_antimalarial,keep,,
Q75g. Has your child use this drug again?,antimalarial_used_again,keep,,
,child_weight,keep,,
,child_height_cm,keep,,
Q76a. Date sample collected,sample_date_collected,keep,,
Q76b. Time of collection,sample_time_collected,keep,,
Q76c. Type of sample/Rectal Swab,sample_rectal_swab,keep,,
