kobo_name,db_name,action
starttime,start_time,keep
endtime,end_time,keep
username,enumerator_name,keep
phonenumber,enumerator_phone_number,keep
photo_001_URL,pharmacy_photo_url,keep
signed_consent,consent,keep
name_pharmacist,pharmacist_name,keep
consent_sign_URL,pharmacist_signature_url,keep
date_of_consent,date_of_consent,keep
witness,witness,keep
witness_name,witness_name,keep
start_time,start_timme,keep
states,state,keep
lgas,lga,keep
ward,ward,keep
_gps_latitude,latitude,keep
_gps_longitude,longitude,keep
pharmacy_no,pharmacy_number,keep
unique,pharmacy_code,keep
,cycle,keep
settlement_type,settlement_type,keep
age,pharmacist_age,keep
gender,pharmacist_gender,keep
religion,pharmacist_religion,keep
other_religion,pharmacist_religion_other,keep
education,education_type,keep
ethnicity,ethnicity_type,keep
other_ethnicity,ethnicity_type_other,keep
drug_shop,drug_shop_category,keep
other_shop,drug_shop_category_other,keep
training,prescription_training,keep
training_type,training_type,keep
other_type,training_type_other,keep
experience,experience_years,keep
antibiotics,know_antibiotics,keep
antibiotic_meaning/medicines_used_to_treat_chest_infections,define_antibiotics_chest_infections,keep
antibiotic_meaning/medicines_used_to_treat_sexually_transmitted_infections,define_antibiotics_treat_sti,keep
antibiotic_meaning/medicines_used_to_treat_malaria,define_antibiotics_treat_malaria,keep
antibiotic_meaning/medicines_that_can_kill_germs_in_the_body,define_antibiotics_kill_germs,keep
antibiotic_meaning/others,define_antibiotics_others,keep
other_meaning,define_antibiotics_others_specified,keep
rational_use,trained_antibiotics_use,keep
training_institute,trained_antibiotics_use_institution,keep
other_training_institute,trained_antibiotics_use_institution_specified,keep
training_year,training_year,keep
selling,prescriptions_before_antibiotics,keep
selling_reason/the_law_says_that_i_must_insist_on_prescriptions_for_antibiotics,prescriptions_before_antibiotics_reason_law,keep
selling_reason/i_want_to_discourage_misuse_of_antibiotics_which_may_lead_to_antimicrobial_resistance,prescriptions_before_antibiotics_reason_discourage_misuse,keep
selling_reason/insisting_on_having_prescriptions_will_protect_life_and_preserve_antibiotic_options_for_later_use,prescriptions_before_antibiotics_reason_protect_life,keep
selling_reason/i_have_no_reason_for_insisting_on_having_prescriptions,prescriptions_before_antibiotics_reason_no_reason,keep
selling_reason/i_earn_more_money_when_i_dispense_based_on_prescriptions,prescriptions_before_antibiotics_reason_earn_money,keep
selling_reason2/no_reason,prescriptions_before_antibiotics_no_reason_no_reason,keep
selling_reason2/there_are_no_doctors_in_my_location_to_write_prescriptions,prescriptions_before_antibiotics_no_reason_no_doctors,keep
selling_reason2/i_prefer_to_give_my_clients_whatever_they_desire_without_asking_questions,prescriptions_before_antibiotics_no_reason_desire,keep
selling_reason2/i_can_recommend_antibiotics_and_therefore_do_not_require_any_prescription,prescriptions_before_antibiotics_no_reason_recommend,keep
selling_reason2/asking_for_prescriptions_will_drive_away_my_clients,prescriptions_before_antibiotics_no_reason_drive_away_clients,keep
selling_reason2/others,prescriptions_before_antibiotics_no_reason_others,keep
other_s_reason,prescriptions_before_antibiotics_no_reason_others_specified,keep
no_people,people_count_ask_antibitoics,keep
no_people2,people_count_sell_antibitoics_with_prescription,keep
no_people3,people_count_sell_antibitoics_no_prescription,keep
no_sold,sell_less_than_required_antibiotics,keep
disease/diarrhea_running_stomach,suspected_conditions_antibiotics_diarrhea,keep
disease/any_abdominal_pain,suspected_conditions_antibiotics_pain,keep
disease/urinary_tract_infectiondifficulty_in_passing_urine,suspected_conditions_antibiotics_uti,keep
disease/sexually_transmitted_disease,suspected_conditions_antibiotics_std,keep
disease/respiratory_tract_infection,suspected_conditions_antibiotics_rti,keep
disease/boil,suspected_conditions_antibiotics_boil,keep
disease/any_episode_of_febrile_illness,suspected_conditions_antibiotics_fever,keep
disease/headaches,suspected_conditions_antibiotics_headache,keep
disease/catarrhnasal_congestion,suspected_conditions_antibiotics_catarrh,keep
disease/others,suspected_conditions_antibiotics_others,keep
other_disease,suspected_conditions_antibiotics_others_specified,keep
effectiveness,combine_antibiotics,keep
no_mixed,combine_antibiotics_count,keep
prevention,antibiotics_prevent_infection,keep
antibiotic_type,specify_antibiotics_prevent_infection,keep
other_antibiotic_type,specify_other_antibiotics_prevent_infection,keep
injections,administer_antibiotic_injections,keep
injection_type/ampiclox_andor_ampicilline,administer_antibiotic_injections_name_amp,keep
injection_type/amoxicillin_andor_amoxiclav_(augmentin),administer_antibiotic_injections_name_amo,keep
injection_type/flagylmetronidazole,administer_antibiotic_injections_name_flagyl,keep
injection_type/ciprofloxacin,administer_antibiotic_injections_name_cipro,keep
injection_type/ceftriaxone_injection,administer_antibiotic_injections_name_ceftr,keep
injection_type/cefuroxime_injection,administer_antibiotic_injections_name_cefur,keep
injection_type/gentamycin_injection,administer_antibiotic_injections_name_genta,keep
injection_type/amikacin_injection,administer_antibiotic_injections_name_ami,keep
injection_type/water_for_injection,administer_antibiotic_injections_name_water,keep
injection_type/others,administer_antibiotic_injections_name_other,keep
other_injection_type,administer_antibiotic_injections_name_other_specified,keep
consumption_days,days_antibiotics_injection,keep
stock/ampiciox_andor_ampicilline,antibiotics_in_shop_amp,keep
stock/amoxicillin_andor_amoxiclav_(augmentin),antibiotics_in_shop_amo,keep
stock/tetracycline_andor_teramycin,antibiotics_in_shop_tetra,keep
stock/septrin_cotrimoxazole,antibiotics_in_shop_sept,keep
stock/azithromycin,antibiotics_in_shop_azith,keep
stock/erythromycin,antibiotics_in_shop_eryth,keep
stock/doxycycline,antibiotics_in_shop_doxy,keep
stock/flagylmetronidazole,antibiotics_in_shop_flagyl,keep
stock/ciprofloxacinciprotab,antibiotics_in_shop_cipro,keep
stock/thalazole,antibiotics_in_shop_thala,keep
stock/others,antibiotics_in_shop_other,keep
other_stock,antibiotics_in_shop_other_specified,keep
_uuid,pharmacy_uuid,keep
_id,submission_id,keep
,concatenated_id,keep
_index,index,keep
start-geopoint,,drop
_start-geopoint_latitude,,drop
_start-geopoint_longitude,,drop
_start-geopoint_altitude,,drop
_start-geopoint_precision,,drop
deviceid,,drop
concat_user,,drop
note_missing_username,,drop
note_missing_phone_number,,drop
note_incorrect_date_and_time,,drop
user_confrim,,drop
concat_enu,,drop
enum_id,,drop
note_incorrect_date_and_time_001,,drop
wrong_login,,drop
note1,,drop
note2,,drop
photo_001,,drop
consent_sign,,drop
note3,,drop
gps,,drop
_gps_altitude,,drop
_gps_precision,,drop
pharm_id,,drop
note3_001,,drop
note5,,drop
antibiotic_meaning,,drop
selling_reason,,drop
selling_reason2,,drop
no_mixed2,,drop
disease,,drop
injection_type,,drop
stock,,drop
lgac,,drop
_submission_time,,drop
_validation_status,,drop
_notes,,drop
_status,,drop
_submitted_by,,drop
__version__,,drop
_tags,,drop
meta/rootUuid,,drop
